"filename", "language", "XML", "TypeScript", "Less", "vue", "CSS", "comment", "blank", "total"
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\App.vue", "vue", 0, 0, 0, 50, 0, 0, 6, 56
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\admin\admin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\axios.ts", "TypeScript", 0, 90, 0, 0, 0, 3, 9, 102
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\comment\comment.ts", "TypeScript", 0, 35, 0, 0, 0, 4, 6, 45
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\comment\types.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\file-action\file-action.ts", "TypeScript", 0, 12, 0, 0, 0, 2, 3, 17
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\file-action\types.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\search\search.ts", "TypeScript", 0, 9, 0, 0, 0, 3, 2, 14
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\search\types.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\user\types.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 11, 58
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\user\user.ts", "TypeScript", 0, 93, 0, 0, 0, 13, 13, 119
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\video\types.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 7, 44
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\video\video.ts", "TypeScript", 0, 59, 0, 0, 0, 2, 9, 70
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-comment-to.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-down.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-right.svg", "XML", 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-up.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\close.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\collection.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\comment.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\exit.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\like.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 6
