"filename", "language", "TypeScript", "vue", "XML", "comment", "blank", "total"
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\App.vue", "vue", 0, 2, 0, 0, -1, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\axios.ts", "TypeScript", 24, 0, 0, 10, -2, 32
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\comment\comment.ts", "TypeScript", 0, 0, 0, 0, -1, -1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\comment\types.ts", "TypeScript", 18, 0, 0, 4, 4, 26
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\video\types.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\video\video.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-comment-to.svg", "XML", 0, 0, 5, 0, 0, 5
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-down.svg", "XML", 0, 0, 5, 0, 0, 5
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-up.svg", "XML", 0, 0, 5, 0, 0, 5
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\video-item-play.svg", "XML", 0, 0, 9, 0, 0, 9
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\view-black.svg", "XML", 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\basic\commonHeader.vue", "vue", 0, 47, 0, 0, 3, 50
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\basic\videoItem.vue", "vue", 0, 86, 0, 0, 6, 92
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\button\button.vue", "vue", 0, -2, 0, 0, 0, -2
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\card\card.vue", "vue", 0, -1, 0, 0, -1, -2
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\comment\comment.vue", "vue", 0, 18, 0, 0, 2, 20
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\comment\commentBox.vue", "vue", 0, 26, 0, 0, 4, 30
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\comment\commentList.vue", "vue", 0, 164, 0, 0, 15, 179
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\form\search\search.vue", "vue", 0, 13, 0, 0, 3, 16
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\main.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\router\index.ts", "TypeScript", 47, 0, 0, 4, 1, 52
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\store.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\user.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\videoList.ts", "TypeScript", 19, 0, 0, 0, 2, 21
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\utils\types.ts", "TypeScript", 18, 0, 0, 1, 1, 20
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\index.vue", "vue", 0, 77, 0, 0, 4, 81
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\loginWindow.vue", "vue", 0, 83, 0, 0, 2, 85
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\videoInfo.vue", "vue", 0, 133, 0, 0, 10, 143
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\videoQueue.vue", "vue", 0, 55, 0, 0, 6, 61
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myPlayer\index.vue", "vue", 0, 199, 0, 0, 15, 214
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myVideos\videoList.vue", "vue", 0, 14, 0, 0, 1, 15
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\personalSideBar.vue", "vue", 0, -2, 0, 0, 0, -2
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\videoItem.vue", "vue", 0, -80, 0, 0, -6, -86
"Total", "-", 151, 832, 30, 19, 71, 1103
