"filename", "language", "TypeScript", "vue", "CSS", "Less", "XML", "comment", "blank", "total"
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\App.vue", "vue", 0, 52, 0, 0, 0, 0, 5, 57
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\admin\admin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\axios.ts", "TypeScript", 114, 0, 0, 0, 0, 13, 7, 134
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\comment\comment.ts", "TypeScript", 35, 0, 0, 0, 0, 4, 5, 44
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\comment\types.ts", "TypeScript", 36, 0, 0, 0, 0, 4, 9, 49
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\file-action\file-action.ts", "TypeScript", 12, 0, 0, 0, 0, 2, 3, 17
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\file-action\types.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\search\search.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 2, 14
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\search\types.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\user\types.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 11, 58
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\user\user.ts", "TypeScript", 93, 0, 0, 0, 0, 13, 13, 119
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\video\types.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 8, 49
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\api\video\video.ts", "TypeScript", 67, 0, 0, 0, 0, 2, 10, 79
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-comment-to.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-down.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-right.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\arrow-up.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\close.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\collection.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\comment.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\exit.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\like.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\my-collections.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\my-follows-and-fans.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\my-info.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\my-videos.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\share.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\video-change.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\video-item-play.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\view-black.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\assets\svgs\views.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\basic\commonHeader.vue", "vue", 0, 139, 0, 0, 0, 0, 14, 153
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\basic\videoItem.vue", "vue", 0, 86, 0, 0, 0, 0, 6, 92
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\button\button.vue", "vue", 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\card\card.vue", "vue", 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\comment\comment.vue", "vue", 0, 91, 0, 0, 0, 0, 11, 102
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\comment\commentBox.vue", "vue", 0, 58, 0, 0, 0, 0, 8, 66
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\comment\commentList.vue", "vue", 0, 340, 0, 0, 0, 0, 39, 379
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\form\input\input.vue", "vue", 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\form\search\search.vue", "vue", 0, 46, 0, 0, 0, 0, 7, 53
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\components\utils\imgCropper.vue", "vue", 0, 119, 0, 0, 0, 1, 13, 133
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\hooks\useNavigation.ts", "TypeScript", 29, 0, 0, 0, 0, 1, 6, 36
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\main.ts", "TypeScript", 23, 0, 0, 0, 0, 5, 5, 33
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\router\index.ts", "TypeScript", 101, 0, 0, 0, 0, 4, 5, 110
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\store.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\uploadVideo.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 2, 34
